organization_code_iata,organization_code_icao,period_start_date,period_end_date,accounting_period,passenger_load_factor_pct
AH,DAH,2020-03-01,2020-03-31,Month 3,70.3423667643769
AH,DAH,2020-04-01,2020-04-30,Month 4,0.0
AH,DAH,2020-05-01,2020-05-31,Month 5,0.0
OB,BOV,2020-01-01,2020-01-31,Month 1,82.3696479994937
OB,BOV,2020-02-01,2020-02-29,Month 2,76.1285525742166
OB,BOV,2020-03-01,2020-03-31,Month 3,65.6551670717184
OB,BOV,2020-04-01,2020-04-30,Month 4,73.9644970414201
OB,BOV,2020-05-01,2020-05-31,Month 5,58.8238629919474
OB,BOV,2020-06-01,2020-06-30,Month 6,68.9092075713827
OB,BOV,2020-07-01,2020-07-31,Month 7,65.2631741712024
OB,BOV,2020-08-01,2020-08-31,Month 8,63.9358783243675
OB,BOV,2020-09-01,2020-09-30,Month 9,81.9749260994782
OB,BOV,2020-10-01,2020-10-31,Month 10,81.5054362607548
OB,BOV,2020-11-01,2020-11-30,Month 11,77.7565706078264
OB,BOV,2020-12-01,2020-12-31,Month 12,79.9242794884726
9K,KAP,2020-01-01,2020-01-31,Month 1,48.4395596759853
9K,KAP,2020-02-01,2020-02-29,Month 2,49.3216511707219
9K,KAP,2020-03-01,2020-03-31,Month 3,33.2560724792301
9K,KAP,2020-04-01,2020-04-30,Month 4,7.38291291932639
9K,KAP,2020-05-01,2020-05-31,Month 5,17.4287978989046
9K,KAP,2020-06-01,2020-06-30,Month 6,30.3084622381237
9K,KAP,2020-07-01,2020-07-31,Month 7,32.1168430952714
9K,KAP,2020-08-01,2020-08-31,Month 8,33.3732813922287
9K,KAP,2020-09-01,2020-09-30,Month 9,33.8525848359971
9K,KAP,2020-10-01,2020-10-31,Month 10,34.6543140142595
9K,KAP,2020-11-01,2020-11-30,Month 11,32.3753233388034
9K,KAP,2020-12-01,2020-12-31,Month 12,31.9304674940251
9K,KAP,2021-01-01,2021-01-31,Month 1,29.1142642038729
9K,KAP,2021-02-01,2021-02-28,Month 2,30.9748202745723
9K,KAP,2021-03-01,2021-03-31,Month 3,38.1006404596933
9K,KAP,2021-04-01,2021-04-30,Month 4,42.7818877275484
9K,KAP,2021-05-01,2021-05-31,Month 5,53.0264416508617
9K,KAP,2021-06-01,2021-06-30,Month 6,51.8679853946841
BW,BWA,2020-01-01,2020-01-31,Month 1,69.6064703652218
BW,BWA,2020-02-01,2020-02-29,Month 2,68.8015814314828
BW,BWA,2020-03-01,2020-03-31,Month 3,56.1899328211886
BW,BWA,2020-04-01,2020-04-30,Month 4,43.952802359882
BW,BWA,2020-05-01,2020-05-31,Month 5,46.0759493670886
BW,BWA,2020-06-01,2020-06-30,Month 6,42.023988005997
BW,BWA,2020-07-01,2020-07-31,Month 7,40.0661532147082
BW,BWA,2020-08-01,2020-08-31,Month 8,96.0655737704918
BW,BWA,2020-09-01,2020-09-30,Month 9,34.852271712934
BW,BWA,2020-10-01,2020-10-31,Month 10,38.0592497119534
BW,BWA,2020-11-01,2020-11-30,Month 11,44.7325542498894
BW,BWA,2020-12-01,2020-12-31,Month 12,49.1846654384383
KX,CAY,2020-01-01,2020-01-31,Month 1,56.6567177678289
KX,CAY,2020-02-01,2020-02-29,Month 2,50.4368453191789
KX,CAY,2020-03-01,2020-03-31,Month 3,37.6384487208808
KX,CAY,2020-04-01,2020-04-30,Month 4,52.0833333333333
KX,CAY,2020-05-01,2020-05-31,Month 5,51.528013582343
KX,CAY,2020-06-01,2020-06-30,Month 6,41.164095371669
KX,CAY,2020-07-01,2020-07-31,Month 7,41.1734431291817
KX,CAY,2020-08-01,2020-08-31,Month 8,55.8070500927644
KX,CAY,2020-09-01,2020-09-30,Month 9,52.8214971209213
KX,CAY,2020-10-01,2020-10-31,Month 10,51.016731016731
KX,CAY,2020-11-01,2020-11-30,Month 11,48.7974098057354
KX,CAY,2020-12-01,2020-12-31,Month 12,48.034188034188
CI,CAL,2020-01-01,2020-01-31,Month 1,81.9866408101702
CI,CAL,2020-02-01,2020-02-29,Month 2,64.1616928920239
CI,CAL,2020-03-01,2020-03-31,Month 3,42.5124792013311
CI,CAL,2020-04-01,2020-04-30,Month 4,27.5862068965517
CI,CAL,2020-05-01,2020-05-31,Month 5,42.0168067226891
CI,CAL,2020-06-01,2020-06-30,Month 6,39.2331238739528
CI,CAL,2020-07-01,2020-07-31,Month 7,27.4611809613282
CI,CAL,2020-08-01,2020-08-31,Month 8,27.384122883614
CI,CAL,2020-09-01,2020-09-30,Month 9,22.9518106883249
CI,CAL,2020-10-01,2020-10-31,Month 10,18.991841644001
CI,CAL,2020-11-01,2020-11-30,Month 11,16.5508952641811
CI,CAL,2020-12-01,2020-12-31,Month 12,13.5385390684023
CI,CAL,2021-01-01,2021-01-31,Month 1,16.2629757785467
CI,CAL,2021-02-01,2021-02-28,Month 2,15.606936416185
CI,CAL,2021-03-01,2021-03-31,Month 3,17.9245283018868
CI,CAL,2021-04-01,2021-04-30,Month 4,16.5071770334928
CI,CAL,2021-05-01,2021-05-31,Month 5,20.7142857142857
CI,CAL,2021-06-01,2021-06-30,Month 6,34.2342342342342
CI,CAL,2021-07-01,2021-07-31,Month 7,23.1958762886598
CI,CAL,2021-08-01,2021-08-31,Month 8,14.3712574850299
CI,CAL,2021-09-01,2021-09-30,Month 9,15.1408450704225
CI,CAL,2021-10-01,2021-10-31,Month 10,12.258064516129
CI,CAL,2021-11-01,2021-11-30,Month 11,13.3956386292835
