country_iso,date,gdp
JPN,2021-10,1.072946946
JPN,2022-01,-0.416699664
JPN,2022-04,1.12253444
JPN,2022-07,-0.253391694
JPN,2022-10,0.158015249
OECD,2017-01,0.643767516
OECD,2017-04,0.701372429
OECD,2017-07,0.795815618
OECD,2017-10,0.817289144
OECD,2018-01,0.543126435
OECD,2018-04,0.589679098
OECD,2018-07,0.283773746
OECD,2018-10,0.220373685
OECD,2019-01,0.553827802
OECD,2019-04,0.555306287
OECD,2019-07,0.526301046
OECD,2019-10,0.036109887
OECD,2020-01,-1.630394674
OECD,2020-04,-10.328829207
OECD,2020-07,9.450085582
OECD,2020-10,1.04136297
OECD,2021-01,0.854023302
OECD,2021-04,1.706691258
OECD,2021-07,1.181320852
OECD,2021-10,1.388461423
OECD,2022-01,0.217768836
OECD,2022-04,0.469410836
OECD,2022-07,0.447602886
OECD,2022-10,0.3
NOR,2017-01,1.133149186
NOR,2017-04,0.96345788
NOR,2017-07,0.685255721
NOR,2017-10,-0.569701184
NOR,2018-01,0.490017833
NOR,2018-04,0.300808205
NOR,2018-07,0.6300102
NOR,2018-10,0.033674237
NOR,2019-01,-0.443113704
NOR,2019-04,0.859924439
NOR,2019-07,0.568205142
NOR,2019-10,0.828953858
NOR,2020-01,-1.255304937
NOR,2020-04,-5.467467939
NOR,2020-07,4.326985049
NOR,2020-10,1.429312099
NOR,2021-01,-0.611004919
NOR,2021-04,1.304549026
NOR,2021-07,3.311582511
NOR,2021-10,0.650870801
NOR,2022-01,-0.803461332
NOR,2022-04,1.128410086
NOR,2022-07,1.294237392
NOR,2022-10,0.19486544
HUN,2017-01,1.401256306
HUN,2017-04,1.188043345
HUN,2017-07,0.957089107
HUN,2017-10,1.418604967
HUN,2018-01,1.7405864
HUN,2018-04,0.946469799
HUN,2018-07,1.514149322
HUN,2018-10,0.99702368
HUN,2019-01,1.900003781
HUN,2019-04,0.400674844
HUN,2019-07,1.399312674
HUN,2019-10,0.600000926
HUN,2020-01,-0.599997853
HUN,2020-04,-14.400000154
HUN,2020-07,11.899999403
HUN,2020-10,1.600001691
HUN,2021-01,1.099994054
HUN,2021-04,2.300000382
HUN,2021-07,1.499999952
HUN,2021-10,2.400001661
HUN,2022-01,1.399999152
HUN,2022-04,0.600002673
HUN,2022-07,-0.7000031
HUN,2022-10,-0.4000004
CAN,2017-01,1.08691958
CAN,2017-04,1.023044213
CAN,2017-07,0.421873021
CAN,2017-10,0.517990679
CAN,2018-01,0.875239281
CAN,2018-04,0.785105341
CAN,2018-07,0.690122507
CAN,2018-10,0.340869542
CAN,2019-01,0.07075927
CAN,2019-04,0.988110124
CAN,2019-07,0.374026535
CAN,2019-10,0.326868383
CAN,2020-01,-2.128337649
CAN,2020-04,-10.928273391
CAN,2020-07,9.017921364
CAN,2020-10,2.130500855
CAN,2021-01,1.308902555
CAN,2021-04,-0.588596311
