airline_iata,date,load_factor
EI,2020-07,24.6961551201366
EI,2020-08,29.712449009324
EI,2020-09,25.9656989082807
EI,2020-10,17.795881421136
EI,2020-11,15.9545157158522
EI,2020-12,35.2653728997815
EI,2020-01,71.720690127097
EI,2020-02,70.9904640799113
EI,2020-03,45.4809441760148
EI,2020-04,4.54250018054452
EI,2020-05,7.68601216951927
EI,2020-06,15.8052083708533
AV,2020-01,81.3111111111111
AV,2020-02,79.5858708891596
AV,2020-03,64.766458256712
AV,2020-04,51.3513513513513
AV,2020-05,80.0
G4,2020-01,82.1521511938896
G4,2020-02,82.1676401415217
G4,2020-03,59.8605675678425
G4,2020-04,19.9758900828985
AV,2020-06,69.8630136986301
AV,2020-07,60.3174603174603
AV,2020-08,53.1914893617021
AV,2020-09,66.6666666666667
AV,2020-10,70.0381679389313
AV,2020-11,64.2517814726841
AV,2020-12,61.6988416988417
AV,2021-01,54.7419804741981
AV,2021-02,58.8235294117647
AV,2021-03,77.4193548387097
AV,2021-04,66.755463023991
AV,2021-05,67.5647077652001
AV,2021-06,76.9961220474947
AV,2021-07,77.6714513556619
G4,2020-05,47.627830692761
G4,2020-06,57.7989296343864
G4,2020-07,51.1679433320526
G4,2020-08,44.4431316080118
G4,2020-09,58.0411855078878
G4,2020-10,63.5851749031336
G4,2020-11,58.1465095115603
G4,2020-12,54.7707422867705
G4,2021-01,57.8327101215986
G4,2021-02,53.2946896431379
AV,2021-08,78.9358200767965
AV,2021-09,77.4822695035461
G4,2021-03,56.0434051578147
G4,2021-04,64.4498337499596
G4,2021-05,69.3445342385637
G4,2021-06,78.3372210715319
VW,2020-07,31.111781695909
VW,2020-08,32.0207687214691
VW,2020-09,41.7684127609295
VW,2020-10,38.3547627979946
VW,2020-11,40.888931431671
VW,2020-12,45.4499843211038
VW,2021-01,0.0
VW,2021-02,0.0
VW,2021-03,0.0
VW,2021-04,0.0
VW,2020-01,49.7237200140227
VW,2020-02,48.3560758675738
VW,2020-03,35.6421384504603
VW,2020-04,10.4172274562584
VW,2020-05,15.843461770537
VW,2020-06,24.7170695774459
VW,2021-05,0.0
VW,2021-06,0.0
VW,2021-07,0.0
VW,2021-08,0.0
VW,2021-09,0.0
VW,2021-10,0.0
AM,2020-01,82.049938062241
AM,2020-02,81.1290409484695
AM,2020-03,64.5589863450612
AM,2020-04,24.8756545558427
AM,2020-05,13.7888482086459
AM,2020-06,28.7255449706745
AM,2020-07,47.7780602964672
AM,2020-08,56.5604396421547
AM,2020-09,58.9848166969053
AM,2020-10,59.2704311328369
AM,2020-11,56.901271092092
AM,2020-12,63.6844141900894
AM,2021-01,61.7217204875114
AM,2021-02,60.0312565250512
AM,2021-03,70.2296015756459
AM,2021-04,69.1566039098314
AM,2021-05,70.0938247453775
AM,2021-06,76.1984732257284
AM,2021-07,79.6443761206992
AH,2020-01,73.9754265742082
AH,2020-02,72.9900829539076
AH,2020-03,70.3423667643769
AH,2020-04,0.0
AH,2020-05,0.0
OB,2020-01,82.3696479994937
OB,2020-02,76.1285525742166
OB,2020-03,65.6551670717184
OB,2020-04,73.9644970414201
OB,2020-05,58.8238629919474
OB,2020-06,68.9092075713827
OB,2020-07,65.2631741712024
OB,2020-08,63.9358783243675
OB,2020-09,81.9749260994782
OB,2020-10,81.5054362607548
OB,2020-11,77.7565706078264
OB,2020-12,79.9242794884726
9K,2020-01,48.4395596759853
9K,2020-02,49.3216511707219
9K,2020-03,33.2560724792301
9K,2020-04,7.38291291932639
9K,2020-05,17.4287978989046
9K,2020-06,30.3084622381237
9K,2020-07,32.1168430952714
9K,2020-08,33.3732813922287
9K,2020-09,33.8525848359971
9K,2020-10,34.6543140142595
9K,2020-11,32.3753233388034
9K,2020-12,31.9304674940251
9K,2021-01,29.1142642038729
9K,2021-02,30.9748202745723
9K,2021-03,38.1006404596933
9K,2021-04,42.7818877275484
9K,2021-05,53.0264416508617
9K,2021-06,51.8679853946841
BW,2020-01,69.6064703652218
BW,2020-02,68.8015814314828
BW,2020-03,56.1899328211886
BW,2020-04,43.952802359882
BW,2020-05,46.0759493670886
BW,2020-06,42.023988005997
BW,2020-07,40.0661532147082
BW,2020-08,96.0655737704918
BW,2020-09,34.852271712934
BW,2020-10,38.0592497119534
BW,2020-11,44.7325542498894
BW,2020-12,49.1846654384383
KX,2020-01,56.6567177678289
KX,2020-02,50.4368453191789
KX,2020-03,37.6384487208808
KX,2020-04,52.0833333333333
KX,2020-05,51.528013582343
KX,2020-06,41.164095371669
KX,2020-07,41.1734431291817
KX,2020-08,55.8070500927644
KX,2020-09,52.8214971209213
KX,2020-10,51.016731016731
KX,2020-11,48.7974098057354
KX,2020-12,48.034188034188
CI,2020-01,81.9866408101702
CI,2020-02,64.1616928920239
CI,2020-03,42.5124792013311
CI,2020-04,27.5862068965517
CI,2020-05,42.0168067226891
CI,2020-06,39.2331238739528
CI,2020-07,27.4611809613282
CI,2020-08,27.384122883614
CI,2020-09,22.9518106883249
CI,2020-10,18.991841644001
CI,2020-11,16.5508952641811
CI,2020-12,13.5385390684023
CI,2021-01,16.2629757785467
CI,2021-02,15.606936416185
CI,2021-03,17.9245283018868
CI,2021-04,16.5071770334928
CI,2021-05,20.7142857142857
CI,2021-06,34.2342342342342
CI,2021-07,23.1958762886598
CI,2021-08,14.3712574850299
CI,2021-09,15.1408450704225
CI,2021-10,12.258064516129
CI,2021-11,13.3956386292835
MU,2020-01,75.2745329561281
MU,2020-02,51.280827113212
MU,2020-03,56.3270647842577
MU,2020-04,65.0726228221386
MU,2020-05,66.3481775428586
MU,2020-06,68.9373403711288
MU,2020-07,74.426393207113
MU,2020-08,74.8249688842929
MU,2020-09,77.8625248050578
MU,2020-10,76.5557650541127
MU,2020-11,71.6245748610636
MU,2020-12,68.6847872479153
CZ,2020-01,76.1197165940747
CZ,2020-02,47.2070132936028
CZ,2020-03,59.7858577041071
CZ,2020-04,63.9317773409248
CZ,2020-05,65.3674504528957
CZ,2020-06,68.2207003387489
CZ,2020-07,71.8083966179577
CZ,2020-08,71.7815933283788
CZ,2020-09,76.747850332917
CZ,2020-10,75.4947613369313
CZ,2020-11,72.8121284678449
CZ,2020-12,69.7352789582049
HU,2020-01,75.3112926803801
HU,2020-02,39.9830999382925
HU,2020-03,61.5026932217715
HU,2020-04,70.6986666053347
HU,2020-05,76.4237902161656
HU,2020-06,75.239592363122
HU,2020-07,78.4166232938167
HU,2020-08,77.0944159497898
HU,2020-09,80.4871822881717
HU,2020-10,78.5795045101011
HU,2020-11,75.6000560765593
HU,2020-12,75.2678390944007
C5,2020-01,78.4464016740219
C5,2020-02,80.0975366170391
C5,2020-03,50.7105395202348
C5,2020-04,8.91600032020208
C5,2020-05,26.7072810306677
C5,2020-06,50.401423361809
C5,2020-07,45.1916173988202
C5,2020-08,46.9347904440283
C5,2020-09,62.1439101229652
C5,2020-10,71.0707510804334
C5,2020-11,65.1406181712575
C5,2020-12,68.0682395801084
C5,2021-01,54.229738664279
C5,2021-02,62.1016878480726
C5,2021-03,71.2546508039592
C5,2021-04,77.9600193943668
C5,2021-05,81.4396237733632
C5,2021-06,80.7143186254119
DE,2020-01,89.527027027027
DE,2020-02,91.3435527502254
DE,2020-03,80.2865329512894
DE,2020-04,62.2222222222222
DE,2020-05,63.2352941176471
DE,2020-06,51.5151515151515
DE,2020-07,64.321608040201
DE,2020-08,72.887323943662
DE,2020-09,71.9758064516129
DE,2020-10,72.5414332295647
DE,2020-11,63.4920634920635
DE,2020-12,62.6984126984127
DE,2021-01,69.0987124463519
DE,2021-02,74.5945945945946
DE,2021-03,67.8082191780822
DE,2021-04,62.1410694582739
DE,2021-05,74.5575221238938
DE,2021-06,70.3614457831325
DE,2021-07,71.8232044198895
CM,2020-01,84.2250922509225
CM,2020-02,83.9897698209719
CM,2020-03,73.4230938094541
CM,2020-10,69.8867421718854
CM,2020-11,78.2979495554346
CM,2020-12,74.8047578997958
CM,2021-01,63.4405308831036
CM,2021-02,69.6058233759099
CM,2021-03,74.6442432082794
CM,2021-04,72.8385416666667
CM,2021-05,77.618704294984
CM,2021-06,78.8795240456123
CM,2021-07,78.7859868192855
CM,2021-08,79.5785622332136
CM,2021-09,79.4792018938113
CM,2021-10,82.0028011204482
CM,2021-11,84.5317474620052
P5,2020-01,73.5748602577724
P5,2020-02,76.7088044721128
P5,2020-03,70.4257429379569
OK,2021-08,68.6274631529649
OK,2021-09,57.6343502748738
OK,2021-10,63.3153087430751
OK,2021-11,56.7687289600254
DL,2020-01,81.9542337549569
DL,2020-02,81.8711801100975
DL,2020-03,54.2630481503855
SS,2020-01,80.5772321049558
SS,2020-02,81.6082930756844
SS,2020-03,72.5324982942679
SS,2020-05,14.9529614416324
SS,2020-06,50.9819639278557
SS,2020-07,73.2706005811277
SS,2020-08,74.3670818508792
SS,2020-09,61.1637709805292
SS,2020-10,57.4769659618381
SS,2020-11,45.8731069347332
SS,2020-12,69.5085773544993
SS,2021-01,68.9304474227997
SS,2021-02,41.212269064919
SS,2021-03,36.1459314359964
SS,2021-04,37.9852313157505
SS,2021-05,47.080906390341
SS,2021-06,58.2095205628628
SS,2021-07,74.8634501317703
OK,2020-01,72.3382605644892
OK,2020-02,65.8560060837666
OK,2020-03,52.2968220313607
OK,2020-04,35.6296811353613
OK,2020-05,34.8226629809795
OK,2020-06,49.4326292303867
OK,2020-07,53.1007694829892
OK,2020-08,50.6432613922021
OK,2020-09,46.0801386993033
OK,2020-10,46.9969945350943
OK,2020-11,49.3909127020576
OK,2020-12,47.6530231443834
OK,2021-01,47.5187772311233
OK,2021-02,55.770149021366
OK,2021-03,46.3588998847848
OK,2021-04,51.1583325398459
OK,2021-05,51.7886996239954
OK,2021-06,64.0917453339385
OK,2021-07,58.6552042106981
DL,2020-04,20.1412999311862
DL,2020-05,36.0345747064512
DL,2020-06,46.1814562530334
DL,2020-07,40.2752364947388
DL,2020-08,39.8304821325283
DL,2020-09,41.9071703428852
DL,2020-10,42.4083807286677
DL,2020-11,39.9251703037691
DL,2020-12,41.2108845607933
DL,2021-01,40.1737614096687
DL,2021-02,42.9527513456844
DL,2021-03,49.228068170566
DL,2021-04,52.6223145940123
DL,2021-05,70.9378485647073
