country_iata,date,gdp,total_cases,total_deaths,stringency_index,reproduction_rate,population,population_density,airline_iata,passenger_load_factor_pct,seats,airline_type
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,3790,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,413144,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,3886,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,1869,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,1168,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,2844,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,1874,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,7304,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,1340,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,1869,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,2844,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,170,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,842,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,13287,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,2967,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,13234,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,1168,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,7474,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,267,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,267,Mainline
AR,2021-01,3.452561206,1927239,47974,79.17,0.9,45510324,16.177,AR,69.41811408,3783,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,1144,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,768,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,267,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,1869,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,1078,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,596,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,267,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,170,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,170,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,267,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,596,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,192,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,1078,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,1776,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,384416,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,672,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,1632,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,170,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,1248,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,2394,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,7873,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,2403,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,96,Mainline
AR,2021-04,-0.787434564,2977363,63865,71.76,0.95,45510324,16.177,AR,64.15136885,1144,Mainline
