organization_code_iata,,organization_code_iata,organization_code_icao,period_start_date,period_end_date,accounting_period,passenger_load_factor_pct,continuous,type
2I,8680,2I,SRU,2017-02-01,2017-02-28,Month 2,0.0,1,Cargo
2I,8681,2I,SRU,2017-03-01,2017-03-31,Month 3,0.0,2,Cargo
2I,8682,2I,SRU,2017-04-01,2017-04-30,Month 4,0.0,3,Cargo
2I,8683,2I,SRU,2017-05-01,2017-05-31,Month 5,0.0,4,Cargo
2I,8684,2I,SRU,2017-06-01,2017-06-30,Month 6,0.0,5,Cargo
2I,8685,2I,SRU,2017-07-01,2017-07-31,Month 7,0.0,6,Cargo
2I,8686,2I,SRU,2017-08-01,2017-08-31,Month 8,0.0,7,Cargo
2I,8687,2I,SRU,2017-09-01,2017-09-30,Month 9,0.0,8,Cargo
2I,8688,2I,SRU,2017-10-01,2017-10-31,Month 10,0.0,9,Cargo
2I,8689,2I,SRU,2017-11-01,2017-11-30,Month 11,0.0,10,Cargo
2I,8690,2I,SRU,2017-12-01,2017-12-31,Month 12,0.0,11,Cargo
2I,1794,2I,SRU,2018-01-01,2018-12-31,Annual,43.3968832597165,12,Cargo
2I,8691,2I,SRU,2018-01-01,2018-01-31,Month 1,0.0,12,Cargo
2I,8692,2I,SRU,2018-02-01,2018-02-28,Month 2,0.0,13,Cargo
2I,8693,2I,SRU,2018-03-01,2018-03-31,Month 3,0.0,14,Cargo
2I,8694,2I,SRU,2018-04-01,2018-04-30,Month 4,0.0,15,Cargo
2I,1795,2I,SRU,2019-01-01,2019-12-31,Annual,47.2155786321669,16,Cargo
2I,971,2I,SRU,2020-01-01,2020-01-31,Month 1,0.0,17,Cargo
2I,1796,2I,SRU,2020-01-01,2020-12-31,Annual,0.0,17,Cargo
2I,972,2I,SRU,2020-02-01,2020-02-29,Month 2,0.0,18,Cargo
2I,973,2I,SRU,2020-03-01,2020-03-31,Month 3,0.0,19,Cargo
2I,871,2I,SRU,2020-04-01,2020-04-30,Month 4,0.0,20,Cargo
2I,872,2I,SRU,2020-05-01,2020-05-31,Month 5,0.0,21,Cargo
2I,873,2I,SRU,2020-06-01,2020-06-30,Month 6,0.0,22,Cargo
2I,874,2I,SRU,2020-07-01,2020-07-31,Month 7,0.0,23,Cargo
2I,875,2I,SRU,2020-08-01,2020-08-31,Month 8,0.0,24,Cargo
2I,876,2I,SRU,2020-09-01,2020-09-30,Month 9,0.0,25,Cargo
2I,877,2I,SRU,2020-10-01,2020-10-31,Month 10,0.0,26,Cargo
2I,878,2I,SRU,2020-11-01,2020-11-30,Month 11,0.0,27,Cargo
2I,879,2I,SRU,2020-12-01,2020-12-31,Month 12,0.0,28,Cargo
2I,880,2I,SRU,2021-01-01,2021-01-31,Month 1,0.0,29,Cargo
2I,881,2I,SRU,2021-02-01,2021-02-28,Month 2,0.0,30,Cargo
2I,882,2I,SRU,2021-03-01,2021-03-31,Month 3,0.0,31,Cargo
2I,883,2I,SRU,2021-04-01,2021-04-30,Month 4,0.0,32,Cargo
2I,884,2I,SRU,2021-05-01,2021-05-31,Month 5,0.0,33,Cargo
2I,983,2I,SRU,2021-06-01,2021-06-30,Month 6,0.0,34,Cargo
2I,984,2I,SRU,2021-07-01,2021-07-31,Month 7,0.0,35,Cargo
2I,985,2I,SRU,2021-08-01,2021-08-31,Month 8,0.0,36,Cargo
2L,7030,2L,OAW,2017-02-01,2017-02-28,Month 2,71.4098073555166,1,Cargo
2L,7031,2L,OAW,2017-03-01,2017-03-31,Month 3,45.8067015301181,2,Cargo
2L,7032,2L,OAW,2017-04-01,2017-04-30,Month 4,78.9638932496075,3,Cargo
2L,7033,2L,OAW,2017-05-01,2017-05-31,Month 5,66.7922750824305,4,Cargo
2L,7034,2L,OAW,2017-06-01,2017-06-30,Month 6,77.1663119489206,5,Cargo
2L,7035,2L,OAW,2017-07-01,2017-07-31,Month 7,82.8878736645203,6,Cargo
2L,7036,2L,OAW,2017-08-01,2017-08-31,Month 8,83.8852097130243,7,Cargo
2L,7037,2L,OAW,2017-09-01,2017-09-30,Month 9,86.4252357842688,8,Cargo
2L,7038,2L,OAW,2017-10-01,2017-10-31,Month 10,73.9629462268414,9,Cargo
2L,7039,2L,OAW,2017-11-01,2017-11-30,Month 11,48.2654600301659,10,Cargo
2L,7040,2L,OAW,2017-12-01,2017-12-31,Month 12,62.5286041189931,11,Cargo
2L,3731,2L,OAW,2018-01-01,2018-12-31,Annual,76.5753492112995,12,Cargo
2L,5298,2L,OAW,2019-01-01,2019-01-31,Month 1,66.6226767843396,13,Cargo
2L,3732,2L,OAW,2019-01-01,2019-12-31,Annual,76.1531609065241,13,Cargo
2L,5299,2L,OAW,2019-02-01,2019-02-28,Month 2,76.2949678236101,14,Cargo
2L,5300,2L,OAW,2019-03-01,2019-03-31,Month 3,75.9184933621488,15,Cargo
2L,5301,2L,OAW,2019-04-01,2019-04-30,Month 4,66.2525281710488,16,Cargo
2L,5302,2L,OAW,2019-05-01,2019-05-31,Month 5,69.7710516103997,17,Cargo
2L,5303,2L,OAW,2019-06-01,2019-06-30,Month 6,82.6410906785035,18,Cargo
2L,5304,2L,OAW,2019-07-01,2019-07-31,Month 7,83.6750788643533,19,Cargo
2L,5305,2L,OAW,2019-08-01,2019-08-31,Month 8,72.7935111355513,20,Cargo
2L,5306,2L,OAW,2019-09-01,2019-09-30,Month 9,88.3556491650369,21,Cargo
2L,5307,2L,OAW,2019-10-01,2019-10-31,Month 10,81.8041634541249,22,Cargo
2L,5308,2L,OAW,2019-11-01,2019-11-30,Month 11,61.546723952739,23,Cargo
2L,5309,2L,OAW,2019-12-01,2019-12-31,Month 12,73.6605710619185,24,Cargo
2L,2333,2L,OAW,2020-01-01,2020-01-31,Month 1,85.6236115518883,25,Cargo
2L,3733,2L,OAW,2020-01-01,2020-12-31,Annual,60.1148110984062,25,Cargo
2L,2334,2L,OAW,2020-02-01,2020-02-29,Month 2,79.4766124046981,26,Cargo
2L,2335,2L,OAW,2020-03-01,2020-03-31,Month 3,43.5943060498221,27,Cargo
2L,2336,2L,OAW,2020-04-01,2020-04-30,Month 4,56.312625250501,28,Cargo
2L,2337,2L,OAW,2020-05-01,2020-05-31,Month 5,23.6024844720497,29,Cargo
2L,2338,2L,OAW,2020-06-01,2020-06-30,Month 6,15.962441314554,30,Cargo
2L,2339,2L,OAW,2020-07-01,2020-07-31,Month 7,41.317671092952,31,Cargo
2L,2340,2L,OAW,2020-08-01,2020-08-31,Month 8,37.9829402910186,32,Cargo
2L,2341,2L,OAW,2020-09-01,2020-09-30,Month 9,66.1322898258016,33,Cargo
2L,2342,2L,OAW,2020-10-01,2020-10-31,Month 10,62.1164150024355,34,Cargo
2L,2343,2L,OAW,2020-11-01,2020-11-30,Month 11,48.0959097320169,35,Cargo
2L,2344,2L,OAW,2020-12-01,2020-12-31,Month 12,58.9158958915896,36,Cargo
2L,2345,2L,OAW,2021-01-01,2021-01-31,Month 1,55.1771117166213,37,Cargo
2L,2346,2L,OAW,2021-02-01,2021-02-28,Month 2,54.8488305761552,38,Cargo
2L,2347,2L,OAW,2021-03-01,2021-03-31,Month 3,41.924778761062,39,Cargo
2L,2348,2L,OAW,2021-04-01,2021-04-30,Month 4,11.1716621253406,40,Cargo
2L,2349,2L,OAW,2021-05-01,2021-05-31,Month 5,16.2748643761302,41,Cargo
3E,3603,3E,ACO,2018-01-01,2018-12-31,Annual,66.9399660263918,1,Regional
3E,4958,3E,ACO,2019-01-01,2019-01-31,Month 1,59.9894398918645,2,Regional
3E,3604,3E,ACO,2019-01-01,2019-12-31,Annual,68.1798879508608,2,Regional
3E,4959,3E,ACO,2019-02-01,2019-02-28,Month 2,60.1885910298797,3,Regional
3E,4960,3E,ACO,2019-03-01,2019-03-31,Month 3,69.9019254234166,4,Regional
3E,4961,3E,ACO,2019-04-01,2019-04-30,Month 4,68.8770340557026,5,Regional
3E,4962,3E,ACO,2019-05-01,2019-05-31,Month 5,71.4558746215623,6,Regional
3E,4963,3E,ACO,2019-06-01,2019-06-30,Month 6,74.7918346525367,7,Regional
3E,5004,3E,ACO,2019-07-01,2019-07-31,Month 7,74.2989605171209,8,Regional
3E,5005,3E,ACO,2019-08-01,2019-08-31,Month 8,74.8738280470776,9,Regional
3E,5006,3E,ACO,2019-09-01,2019-09-30,Month 9,66.114259604345,10,Regional
3E,5007,3E,ACO,2019-10-01,2019-10-31,Month 10,63.357748282768,11,Regional
3E,5008,3E,ACO,2019-11-01,2019-11-30,Month 11,65.2916101552181,12,Regional
3E,5009,3E,ACO,2019-12-01,2019-12-31,Month 12,66.7452429308601,13,Regional
3E,3605,3E,ACO,2020-01-01,2020-12-31,Annual,34.1840859629833,14,Regional
3E,3139,3E,ACO,2020-01-01,2020-01-31,Month 1,55.760726831951,14,Regional
3E,3140,3E,ACO,2020-02-01,2020-02-29,Month 2,61.8515609967827,15,Regional
3E,3141,3E,ACO,2020-03-01,2020-03-31,Month 3,36.3380598046443,16,Regional
3E,3142,3E,ACO,2020-04-01,2020-04-30,Month 4,7.42541979469566,17,Regional
3E,3143,3E,ACO,2020-05-01,2020-05-31,Month 5,16.0123507492588,18,Regional
3E,3144,3E,ACO,2020-06-01,2020-06-30,Month 6,28.2952735888876,19,Regional
3E,3145,3E,ACO,2020-07-01,2020-07-31,Month 7,34.5319151664359,20,Regional
3E,3146,3E,ACO,2020-08-01,2020-08-31,Month 8,32.2633620544983,21,Regional
3E,3147,3E,ACO,2020-09-01,2020-09-30,Month 9,35.4638361762956,22,Regional
3E,3148,3E,ACO,2020-10-01,2020-10-31,Month 10,37.0754673006106,23,Regional
3E,3149,3E,ACO,2020-11-01,2020-11-30,Month 11,33.8152860903775,24,Regional
3E,3150,3E,ACO,2020-12-01,2020-12-31,Month 12,29.4956450927631,25,Regional
3E,3151,3E,ACO,2021-01-01,2021-01-31,Month 1,26.1037521904958,26,Regional
3E,3152,3E,ACO,2021-02-01,2021-02-28,Month 2,29.9392543734956,27,Regional
3E,3153,3E,ACO,2021-03-01,2021-03-31,Month 3,34.9397353080195,28,Regional
3E,3154,3E,ACO,2021-04-01,2021-04-30,Month 4,37.7820148060747,29,Regional
3E,3155,3E,ACO,2021-05-01,2021-05-31,Month 5,43.3849087688557,30,Regional
3E,3156,3E,ACO,2021-06-01,2021-06-30,Month 6,52.4976238655874,31,Regional
3E,10227,3E,ACO,2021-07-01,2021-07-31,Month 7,56.7041625667174,32,Regional
3E,10241,3E,ACO,2021-08-01,2021-08-31,Month 8,51.54340908,33,Regional
3E,10250,3E,ACO,2021-09-01,2021-09-30,Month 9,48.7830197352292,34,Regional
3M,8094,3M,SIL,2017-02-01,2017-02-28,Month 2,58.7719829154117,1,Regional
3M,8095,3M,SIL,2017-03-01,2017-03-31,Month 3,65.4303745818859,2,Regional
3M,8096,3M,SIL,2017-04-01,2017-04-30,Month 4,67.6440304310303,3,Regional
3M,8097,3M,SIL,2017-05-01,2017-05-31,Month 5,67.7681104785302,4,Regional
3M,8098,3M,SIL,2017-06-01,2017-06-30,Month 6,68.1790471047365,5,Regional
3M,8099,3M,SIL,2017-07-01,2017-07-31,Month 7,68.0983460737229,6,Regional
3M,8100,3M,SIL,2017-08-01,2017-08-31,Month 8,62.8118222757359,7,Regional
3M,8101,3M,SIL,2017-09-01,2017-09-30,Month 9,53.5300499009981,8,Regional
3M,8102,3M,SIL,2017-10-01,2017-10-31,Month 10,67.179421174096,9,Regional
3M,8103,3M,SIL,2017-11-01,2017-11-30,Month 11,71.1672261108048,10,Regional
3M,8104,3M,SIL,2017-12-01,2017-12-31,Month 12,70.3309896780301,11,Regional
3M,8105,3M,SIL,2018-01-01,2018-01-31,Month 1,67.9767229602056,12,Regional
3M,1609,3M,SIL,2018-01-01,2018-12-31,Annual,71.1472306774469,12,Regional
3M,8106,3M,SIL,2018-02-01,2018-02-28,Month 2,72.1017841944904,13,Regional
3M,8107,3M,SIL,2018-03-01,2018-03-31,Month 3,75.8695257840311,14,Regional
3M,8108,3M,SIL,2018-04-01,2018-04-30,Month 4,71.6604128984816,15,Regional
3M,8109,3M,SIL,2018-05-01,2018-05-31,Month 5,69.1129145980781,16,Regional
3M,8110,3M,SIL,2018-06-01,2018-06-30,Month 6,75.0269194649513,17,Regional
3M,8111,3M,SIL,2018-07-01,2018-07-31,Month 7,72.9144088110544,18,Regional
3M,8112,3M,SIL,2018-08-01,2018-08-31,Month 8,70.2282431816756,19,Regional
3M,8113,3M,SIL,2018-09-01,2018-09-30,Month 9,63.4385343872891,20,Regional
3M,8114,3M,SIL,2018-10-01,2018-10-31,Month 10,70.2203396079161,21,Regional
3M,8115,3M,SIL,2018-11-01,2018-11-30,Month 11,73.4073111121214,22,Regional
3M,8116,3M,SIL,2018-12-01,2018-12-31,Month 12,68.7422908897823,23,Regional
3M,1610,3M,SIL,2019-01-01,2019-12-31,Annual,68.4890705567055,24,Regional
3M,10012,3M,SIL,2019-01-01,2019-01-31,Month 1,64.2488744510238,24,Regional
3M,10013,3M,SIL,2019-02-01,2019-02-28,Month 2,70.4767754247694,25,Regional
3M,10014,3M,SIL,2019-03-01,2019-03-31,Month 3,74.5519995273318,26,Regional
3M,10015,3M,SIL,2019-04-01,2019-04-30,Month 4,72.8469737206852,27,Regional
3M,10016,3M,SIL,2019-05-01,2019-05-31,Month 5,70.6413674985945,28,Regional
3M,10017,3M,SIL,2019-06-01,2019-06-30,Month 6,72.6795968234251,29,Regional
3M,10018,3M,SIL,2019-07-01,2019-07-31,Month 7,69.2734847806078,30,Regional
3M,10019,3M,SIL,2019-08-01,2019-08-31,Month 8,64.4882407063097,31,Regional
3M,10020,3M,SIL,2019-09-01,2019-09-30,Month 9,64.8015776568724,32,Regional
3M,10021,3M,SIL,2019-10-01,2019-10-31,Month 10,70.1118466381797,33,Regional
3M,9981,3M,SIL,2019-11-01,2019-11-30,Month 11,65.5177099539033,34,Regional
3M,9982,3M,SIL,2019-12-01,2019-12-31,Month 12,58.9422427501354,35,Regional
3M,1390,3M,SIL,2020-01-01,2020-01-31,Month 1,57.4840497770371,36,Regional
3M,1784,3M,SIL,2020-01-01,2020-12-31,Annual,52.9525214992749,36,Regional
3M,1391,3M,SIL,2020-02-01,2020-02-29,Month 2,65.2633124353984,37,Regional
3M,1392,3M,SIL,2020-03-01,2020-03-31,Month 3,45.6415731002731,38,Regional
3M,1393,3M,SIL,2020-04-01,2020-04-30,Month 4,17.4385197856159,39,Regional
3M,1394,3M,SIL,2020-05-01,2020-05-31,Month 5,21.1982686891802,40,Regional
3M,1395,3M,SIL,2020-06-01,2020-06-30,Month 6,54.7653376463536,41,Regional
3M,1396,3M,SIL,2020-07-01,2020-07-31,Month 7,41.7234362871827,42,Regional
3M,1397,3M,SIL,2020-08-01,2020-08-31,Month 8,41.5281823859892,43,Regional
3M,1398,3M,SIL,2020-09-01,2020-09-30,Month 9,57.1054618928663,44,Regional
3M,1399,3M,SIL,2020-10-01,2020-10-31,Month 10,58.4929293215141,45,Regional
3M,1400,3M,SIL,2020-11-01,2020-11-30,Month 11,58.4991402765464,46,Regional
3M,1401,3M,SIL,2020-12-01,2020-12-31,Month 12,54.2611227463284,47,Regional
3M,1402,3M,SIL,2021-01-01,2021-01-31,Month 1,49.470183053234,48,Regional
3M,1403,3M,SIL,2021-02-01,2021-02-28,Month 2,56.5530108551314,49,Regional
3M,1404,3M,SIL,2021-03-01,2021-03-31,Month 3,64.8362126195099,50,Regional
3M,1405,3M,SIL,2021-04-01,2021-04-30,Month 4,69.9701385570951,51,Regional
3M,1406,3M,SIL,2021-05-01,2021-05-31,Month 5,67.6308652294809,52,Regional
3M,1407,3M,SIL,2021-06-01,2021-06-30,Month 6,69.5740004487302,53,Regional
3M,1909,3M,SIL,2021-07-01,2021-07-31,Month 7,70.4139579093522,54,Regional
3M,1888,3M,SIL,2021-08-01,2021-08-31,Month 8,61.68705071,55,Regional
3M,1939,3M,SIL,2021-09-01,2021-09-30,Month 9,58.2972067041836,56,Regional
3U,8080,3U,CSC,2017-02-01,2017-02-28,Month 2,0.0,1,Mainline
3U,8081,3U,CSC,2017-03-01,2017-03-31,Month 3,0.0,2,Mainline
3U,8082,3U,CSC,2017-04-01,2017-04-30,Month 4,0.0,3,Mainline
3U,8083,3U,CSC,2017-05-01,2017-05-31,Month 5,0.0,4,Mainline
3U,8084,3U,CSC,2017-06-01,2017-06-30,Month 6,0.0,5,Mainline
3U,8085,3U,CSC,2017-07-01,2017-07-31,Month 7,0.0,6,Mainline
3U,8086,3U,CSC,2017-08-01,2017-08-31,Month 8,0.0,7,Mainline
3U,8087,3U,CSC,2017-09-01,2017-09-30,Month 9,0.0,8,Mainline
3U,8088,3U,CSC,2017-10-01,2017-10-31,Month 10,0.0,9,Mainline
3U,8089,3U,CSC,2017-11-01,2017-11-30,Month 11,0.0,10,Mainline
3U,8090,3U,CSC,2017-12-01,2017-12-31,Month 12,0.0,11,Mainline
3U,1781,3U,CSC,2018-01-01,2018-12-31,Annual,84.1617001403387,12,Mainline
3U,8091,3U,CSC,2018-01-01,2018-01-31,Month 1,82.3061155512433,12,Mainline
3U,8092,3U,CSC,2018-02-01,2018-02-28,Month 2,87.9453142098833,13,Mainline
3U,8093,3U,CSC,2018-03-01,2018-03-31,Month 3,85.8828629341884,14,Mainline
3U,8046,3U,CSC,2018-04-01,2018-04-30,Month 4,85.8784843844646,15,Mainline
3U,8047,3U,CSC,2018-05-01,2018-05-31,Month 5,83.5079222626294,16,Mainline
3U,8048,3U,CSC,2018-06-01,2018-06-30,Month 6,85.0570775739301,17,Mainline
3U,8049,3U,CSC,2018-07-01,2018-07-31,Month 7,84.8431697919593,18,Mainline
3U,8050,3U,CSC,2018-08-01,2018-08-31,Month 8,87.1180780625872,19,Mainline
3U,8051,3U,CSC,2018-09-01,2018-09-30,Month 9,83.0714315931097,20,Mainline
3U,8052,3U,CSC,2018-10-01,2018-10-31,Month 10,83.7339679802844,21,Mainline
3U,8053,3U,CSC,2018-11-01,2018-11-30,Month 11,80.6942241938934,22,Mainline
3U,8054,3U,CSC,2018-12-01,2018-12-31,Month 12,80.2976993782888,23,Mainline
3U,1782,3U,CSC,2019-01-01,2019-12-31,Annual,83.2446397962288,24,Mainline
3U,10000,3U,CSC,2019-01-01,2019-01-31,Month 1,82.8558635055873,24,Mainline
3U,10001,3U,CSC,2019-02-01,2019-02-28,Month 2,88.6125427307783,25,Mainline
3U,10002,3U,CSC,2019-03-01,2019-03-31,Month 3,82.2415856440582,26,Mainline
3U,10003,3U,CSC,2019-04-01,2019-04-30,Month 4,83.9768850314689,27,Mainline
3U,10004,3U,CSC,2019-05-01,2019-05-31,Month 5,81.6123585940057,28,Mainline
3U,10005,3U,CSC,2019-06-01,2019-06-30,Month 6,83.1420217381381,29,Mainline
3U,10006,3U,CSC,2019-07-01,2019-07-31,Month 7,84.3770820119165,30,Mainline
3U,10007,3U,CSC,2019-08-01,2019-08-31,Month 8,86.8613668458789,31,Mainline
3U,10008,3U,CSC,2019-09-01,2019-09-30,Month 9,81.12993384484,32,Mainline
3U,10009,3U,CSC,2019-10-01,2019-10-31,Month 10,82.9039261864998,33,Mainline
3U,10010,3U,CSC,2019-11-01,2019-11-30,Month 11,81.3183178866532,34,Mainline
3U,10011,3U,CSC,2019-12-01,2019-12-31,Month 12,79.8465851434635,35,Mainline
3U,1783,3U,CSC,2020-01-01,2020-12-31,Annual,74.4359061401144,36,Mainline
3U,931,3U,CSC,2020-01-01,2020-01-31,Month 1,78.4127370546295,36,Mainline
3U,932,3U,CSC,2020-02-01,2020-02-29,Month 2,54.6245643315312,37,Mainline
3U,933,3U,CSC,2020-03-01,2020-03-31,Month 3,59.8026204112118,38,Mainline
3U,934,3U,CSC,2020-04-01,2020-04-30,Month 4,66.4155879662969,39,Mainline
3U,935,3U,CSC,2020-05-01,2020-05-31,Month 5,69.7045190209625,40,Mainline
3U,936,3U,CSC,2020-06-01,2020-06-30,Month 6,69.7370405544166,41,Mainline
3U,937,3U,CSC,2020-07-01,2020-07-31,Month 7,74.4514713954024,42,Mainline
3U,938,3U,CSC,2020-08-01,2020-08-31,Month 8,78.9398233248588,43,Mainline
3U,939,3U,CSC,2020-09-01,2020-09-30,Month 9,79.9501196067231,44,Mainline
3U,940,3U,CSC,2020-10-01,2020-10-31,Month 10,78.19955984559,45,Mainline
3U,941,3U,CSC,2020-11-01,2020-11-30,Month 11,77.5663239353935,46,Mainline
3U,942,3U,CSC,2020-12-01,2020-12-31,Month 12,74.792042238698,47,Mainline
4G,7814,4G,GZP,2017-02-01,2017-02-28,Month 2,64.3591869017068,1,Mainline
4G,7815,4G,GZP,2017-03-01,2017-03-31,Month 3,55.9575591719776,2,Mainline
4G,7816,4G,GZP,2017-04-01,2017-04-30,Month 4,62.0973420329904,3,Mainline
4G,7817,4G,GZP,2017-05-01,2017-05-31,Month 5,57.2579247270028,4,Mainline
4G,7818,4G,GZP,2017-06-01,2017-06-30,Month 6,58.672303225901,5,Mainline
4G,7819,4G,GZP,2017-07-01,2017-07-31,Month 7,59.7999999999999,6,Mainline
4G,7820,4G,GZP,2017-08-01,2017-08-31,Month 8,57.8256718545706,7,Mainline
4G,7821,4G,GZP,2017-09-01,2017-09-30,Month 9,55.5336467286138,8,Mainline
4G,7822,4G,GZP,2017-10-01,2017-10-31,Month 10,61.4171779897993,9,Mainline
4G,7823,4G,GZP,2017-11-01,2017-11-30,Month 11,63.9685051615157,10,Mainline
4G,7824,4G,GZP,2017-12-01,2017-12-31,Month 12,59.5,11,Mainline
4G,1690,4G,GZP,2018-01-01,2018-12-31,Annual,60.3,12,Mainline
4G,7825,4G,GZP,2018-01-01,2018-01-31,Month 1,62.0,12,Mainline
4G,7826,4G,GZP,2018-02-01,2018-02-28,Month 2,64.2521520366615,13,Mainline
4G,7827,4G,GZP,2018-03-01,2018-03-31,Month 3,64.0586754709332,14,Mainline
4G,7828,4G,GZP,2018-04-01,2018-04-30,Month 4,60.4600881821061,15,Mainline
4G,7829,4G,GZP,2018-05-01,2018-05-31,Month 5,67.574767114989,16,Mainline
4G,7830,4G,GZP,2018-06-01,2018-06-30,Month 6,57.6257225431228,17,Mainline
4G,7831,4G,GZP,2018-07-01,2018-07-31,Month 7,57.0080624010114,18,Mainline
4G,7832,4G,GZP,2018-08-01,2018-08-31,Month 8,55.9916101636929,19,Mainline
4G,7833,4G,GZP,2018-09-01,2018-09-30,Month 9,54.8936581434839,20,Mainline
4G,7834,4G,GZP,2018-10-01,2018-10-31,Month 10,63.185651535197,21,Mainline
4G,7835,4G,GZP,2018-11-01,2018-11-30,Month 11,62.3806388564625,22,Mainline
4G,7836,4G,GZP,2018-12-01,2018-12-31,Month 12,62.682533488666,23,Mainline
4G,1691,4G,GZP,2019-01-01,2019-12-31,Annual,61.6,24,Mainline
4G,7999,4G,GZP,2019-01-01,2019-01-31,Month 1,62.7,24,Mainline
4G,8000,4G,GZP,2019-02-01,2019-02-28,Month 2,63.1058464913613,25,Mainline
4G,8001,4G,GZP,2019-03-01,2019-03-31,Month 3,62.344758531646,26,Mainline
4G,8002,4G,GZP,2019-04-01,2019-04-30,Month 4,66.12240525828,27,Mainline
4G,1692,4G,GZP,2020-01-01,2020-12-31,Annual,54.8,28,Mainline
4G,472,4G,GZP,2020-03-01,2020-03-31,Month 3,65.9,29,Mainline
4G,473,4G,GZP,2020-04-01,2020-04-30,Month 4,12.1,30,Mainline
4G,474,4G,GZP,2020-08-01,2020-08-31,Month 8,43.6,31,Mainline
4G,475,4G,GZP,2020-09-01,2020-09-30,Month 9,54.8,32,Mainline
4G,476,4G,GZP,2020-10-01,2020-10-31,Month 10,47.2,33,Mainline
4G,477,4G,GZP,2021-03-01,2021-03-31,Month 3,52.8,34,Mainline
4G,478,4G,GZP,2021-04-01,2021-04-30,Month 4,63.3,35,Mainline
4G,479,4G,GZP,2021-08-01,2021-08-31,Month 8,55.0,36,Mainline
4G,480,4G,GZP,2021-09-01,2021-09-30,Month 9,58.8,37,Mainline
4G,1942,4G,GZP,2021-10-01,2021-10-31,Month 10,58.3,38,Mainline
5J,7547,5J,CEB,2017-02-01,2017-02-28,Month 2,77.8327941076224,1,Low-cost
5J,7548,5J,CEB,2017-03-01,2017-03-31,Month 3,78.0172912044676,2,Low-cost
5J,7549,5J,CEB,2017-04-01,2017-04-30,Month 4,84.9378464300785,3,Low-cost
5J,1649,5J,CEB,2018-01-01,2018-12-31,Annual,83.9828986661235,4,Low-cost
5J,1650,5J,CEB,2019-01-01,2019-12-31,Annual,84.9319152629675,5,Low-cost
5J,1870,5J,CEB,2019-01-01,2019-03-31,Quarter 1,84.2,5,Low-cost
5J,1871,5J,CEB,2019-04-01,2019-06-30,Quarter 2,90.1,6,Low-cost
5J,1872,5J,CEB,2019-07-01,2019-09-30,Quarter 3,85.1,7,Low-cost
5J,1873,5J,CEB,2019-10-01,2019-12-31,Quarter 4,85.9,8,Low-cost
5J,1651,5J,CEB,2020-01-01,2020-12-31,Annual,74.2228807084637,9,Low-cost
5J,1874,5J,CEB,2020-01-01,2020-03-31,Quarter 1,81.3,9,Low-cost
5J,1875,5J,CEB,2020-04-01,2020-06-30,Quarter 2,56.1,10,Low-cost
5N,6745,5N,AUL,2017-02-01,2017-02-28,Month 2,72.3985573935482,1,Regional
5N,6746,5N,AUL,2017-03-01,2017-03-31,Month 3,70.4834370207903,2,Regional
5N,6747,5N,AUL,2017-04-01,2017-04-30,Month 4,69.97755721262,3,Regional
5N,6748,5N,AUL,2017-05-01,2017-05-31,Month 5,75.4676930754887,4,Regional
5N,6749,5N,AUL,2017-06-01,2017-06-30,Month 6,74.0020984339045,5,Regional
5N,6790,5N,AUL,2017-07-01,2017-07-31,Month 7,83.7906952632742,6,Regional
5N,6791,5N,AUL,2017-08-01,2017-08-31,Month 8,82.5658763865472,7,Regional
5N,6792,5N,AUL,2017-09-01,2017-09-30,Month 9,74.8816395982708,8,Regional
5N,6793,5N,AUL,2017-10-01,2017-10-31,Month 10,66.4622048549938,9,Regional
5N,6794,5N,AUL,2017-11-01,2017-11-30,Month 11,67.4953173404096,10,Regional
5N,6795,5N,AUL,2017-12-01,2017-12-31,Month 12,69.4800599011358,11,Regional
5N,6796,5N,AUL,2018-01-01,2018-01-31,Month 1,73.7,12,Regional
5N,3850,5N,AUL,2018-01-01,2018-12-31,Annual,78.6,12,Regional
5N,6797,5N,AUL,2018-02-01,2018-02-28,Month 2,71.3788477532662,13,Regional
5N,6798,5N,AUL,2018-03-01,2018-03-31,Month 3,72.4277082602425,14,Regional
5N,6799,5N,AUL,2018-04-01,2018-04-30,Month 4,70.624569670535,15,Regional
5N,6800,5N,AUL,2018-05-01,2018-05-31,Month 5,71.6564544056022,16,Regional
5N,6801,5N,AUL,2018-06-01,2018-06-30,Month 6,78.7265568277991,17,Regional
5N,6701,5N,AUL,2018-07-01,2018-07-31,Month 7,85.122015456159,18,Regional
5N,6702,5N,AUL,2018-08-01,2018-08-31,Month 8,88.6228287386097,19,Regional
5N,6703,5N,AUL,2018-09-01,2018-09-30,Month 9,82.0567717750366,20,Regional
5N,6704,5N,AUL,2018-10-01,2018-10-31,Month 10,74.1007395479315,21,Regional
5N,6705,5N,AUL,2018-11-01,2018-11-30,Month 11,76.4225544755314,22,Regional
5N,6706,5N,AUL,2018-12-01,2018-12-31,Month 12,73.167608064215,23,Regional
5N,5596,5N,AUL,2019-01-01,2019-01-31,Month 1,79.4,24,Regional
5N,3851,5N,AUL,2019-01-01,2019-12-31,Annual,84.1,24,Regional
5N,5597,5N,AUL,2019-02-01,2019-02-28,Month 2,78.2317360494153,25,Regional
5N,5598,5N,AUL,2019-03-01,2019-03-31,Month 3,81.2130386626573,26,Regional
